spec_id,model_number,cpu,hdd,ssd,monitor_size,monitor_vertical,monitor_horizon,camera,wifi,optical_drive,graphic,os,category,memory
0,ñ¢ì¸óÕ,-,0,0,0,0,0,f,f,f,-,-,0,-
1,ThinkPad X1 Carbon 6gn,Corei5 8365U,0,0,14,1920,1080,t,t,f,intel UHD Graphics 620,Windows10 Pro,8,0
2,ThinkPad X270,Corei5 7300U,0,512,12.5,1920,1080,t,t,f,intel HD Graphics 620,Windows10 Pro,8,0
3,ThinkPad X260,Corei5 6300U,0,256,12.5,1366,768,t,t,f,intel HD Graphics 520,Windows10 Pro,8,0
4,ThinkPad X250,Corei5 5300U,0,256,12.5,1366,768,t,t,f,intel HD Graphics 5500,Windows10 Pro,8,0
5,ThinkPad T460,Corei5 6300U,0,256,14,1920,1080,t,t,f,intel HD Graphics 520,Windows10 Pro,16,0
6,ThinkPad X61,Core2Duo T7300,0,128,12.1,1024,768,f,t,f,-,Windows7 Home 32bit,8,0
7,Let'sNote SV7,Corei5 8350U,0,256,12.1,1920,1200,t,t,t,intel UHD Graphics 620,Windows10 Pro,8,0
8,Let'sNote  SZ6,Corei5 7300U,0,256,12.1,1920,1200,t,t,f,intel HD Graphics 620,Windows10 Pro,8,0
9,Let'sNote  SZ5,Corei5 6300U,0,128,12.1,1920,1200,t,t,f,intel HD Graphics 520,Windows10 Pro,4,0
10,Let'sNote  NX3,Corei5 4300U,0,512,12.1,1600,900,t,t,f,intel HD Graphics 4400,Windows10 Pro,8,0
11,L et'sNote MX4,Corei5 5300U,0,128,12.5,1920,1080,t,t,t,intel HD Graphics 5500,Windows10 Pro,4,0
12,LIFEBOOK U939,Corei7 8565U,0,256,13.3,1920,1080,t,t,f,intel UHD Graphics 620,Windows10 Home,16,0
13,LIFEBOOK  U938,Corei5 8350U,0,256,13.3,1920,1080,t,t,f,intel UHD Graphics 620,Windows10 Pro,8,0
14,A746/N,Corei5 6300U,0,128,15.6,1366,768,t,t,t,intel HD Graphics 520,Windows10 Pro,8,0
15,A748/TX,Corei5 8250U,0,256,15.6,1366,768,f,t,t,intel UHD Graphics 620,Windows10 Pro,32,0
16,VJS111D12N,Corei5 6200U,0,256,11.6,1920,1080,t,t,f,intel HD Graphics 520,Windows10 Pro,8,0
17,ideapad 310S-11IAP,Celeron N3350,500,0,11.6,1366,768,t,t,f,intel HD Graphics 500,Windows10 Home,4,0
18,ProBook 470 G5,Corei5 8250U,0,512,17.3,1600,900,t,t,f,GEForce 930MX,Windows10 Pro,16,0
19,dynabook T65/CG,Corei7 7500U,0,256,15.6,1920,1080,t,t,t,intel HD Graphics 620,Windows10 Home,16,0
20,dynabook B65/H,Corei5 7200U,0,128,15.6,1366,768,t,t,f,intel HD Graphics 620,Windows10 Pro,8,0
21,dynabook R63/Y,Corei5 5200U,0,128,13.3,1366,768,t,t,f,intel HD Graphics 5500,Windows10 Pro,8,0
22,dynabook R63/F,Corei5 6200U,0,256,13.3,1366,768,t,t,f,intel HD Graphics 520,Windows10 Pro,16,0
23,dynabook R73/B,Corei5 6200U,0,256,13.3,1366,768,t,t,f,intel HD Graphics 520,Windows10 Pro,8,0
24,Latitude 5580,Corei3 7100U,0,256,15.6,1366,768,t,t,f,intel HD Graphics 620,Windows10 Pro,8,0
25,Latitude 5480,Corei5 6300U,0,256,14,1366,768,f,t,f,intel HD Graphics 520,Windows10 Pro,16,0
26,Inspiron17 5759,Corei7 6500U,2000,0,17.3,1920,1080,t,t,t,intel HD Graphics 520,Windows10 Pro,16,0
27,Latitude 7290,Corei5 8350U,0,256,12.5,1366,768,t,t,f,intel UHD Graphics 620,Windows10 Pro,8,0
28,Endeavor NJ5900E,Corei7 4700MQ,0,256,15.6,1920,1080,t,t,t,intel Iris Pro Graphics 5200,Windows10 Pro,8,0
29,Surface Pro4,Corei7 6650U,0,256,12.3,2736,1824,t,t,f,intel HD Graphics 520,Windows10 Pro,8,0
30,ARROWS Tab Q737/P,Corei5 7300U,0,128,13.3,1920,1080,t,t,f,intel HD Graphics 620,Windows10 Pro,4,0
31,MacBook Air Early 2015,Corei5 5250U,0,128,13.3,1440,900,t,t,f,intel Iris Graphics 540,MacOS monterey 12.0.1,8,0
32,MacBook Pro Mid 2015,Corei7 4770HQ,0,1000,15.4,2880,1800,t,t,f,intel HD Graphics 4600,MacOS Big Sur 11.6.1,16,0
33,MacBook Pro  M1,M1,0,512,13.3,2560,1600,t,t,f,M1,MacOS Big Sur 11.6.1,16,0
34,MacBook Eary 2016,Core m3 6Y30,0,256,12,2304,1440,t,t,f,intel HD Graphics 515,MacOs sierra 10.12.6,8,0
35,OMEN 15-cd016TX,Corei7 7700HQ,1000,256,15.6,1920,1080,t,t,f,GTX 1060 mobile,Windows10 Pro,16,0
36,ProDesk 600 G3 SFF,Corei5 6500,500,128,0,0,0,f,f,t,intel HD Graphics 530,Windows10 Pro,8,0
37,OptiPlex 5040 SFF,Corei5 6500,0,128,0,0,0,f,f,t,intel HD Graphics 530,Windows10 Pro,8,1
38,PC-MKL36BZG3,Corei3 8100,0,256,0,0,0,f,f,f,intel UHD Graphics 630,Windows10 Pro,8,1
39,ESPRIMO K556/M,Corei5 6500T,0,256,20,1600,900,f,f,t,intel HD Graphics 530,Windows10 Pro,8,1
40,ThinkStation P310SFF,Corei7 6700,0,512,0,0,0,f,f,f,QUADRO K620,Windows10 Pro,32,1
41,G-tune,Corei9 7900X,3000,512,0,0,0,f,f,t,GTX 1080Ti,Windows10 Pro,64,1
42,Optiplex 3040 Micro,Corei3 6100T,0,128,0,0,0,f,f,f,intel HD Graphics 530,Windows10 Pro,8,1
43,MK37VBZGT,Corei3 6100,0,10000,0,0,0,f,f,f,intel HD Graphics 530,Windows10 Pro,8,1
44,ESPRIMO Q558/B,Corei5 9500T,0,256,0,0,0,t,t,t,intel UHD Graphics 630,Windows10 Pro,16,1
45,OptiPlex 790 SFF,Corei5 2400,500,0,0,0,0,f,f,t,intel HD Graphics 2000,Windows xp Pro 32bit,4,1
